UNIQUE_KEY,PRODUCT_TITLE,PRODUCT_DESCRIPTION,STYLE#,AVAILABLE_SIZES,BRAND_LOGO_IMAGE,THUMBNAIL_IMAGE,COLOR_SWATCH_IMAGE,PRODUCT_IMAGE,SPEC_SHEET,FRONT_FLAT,BACK_FLAT,FRONT_MODEL,BACK_MODEL,SIDE_MODEL,THREE_Q_MODEL,PRICE_TEXT,COLOR_NAME,COLOR_SQUARE_IMAGE,COLOR_PRODUCT_IMAGE,COLOR_PRODUCT_IMAGE_THUMBNAIL,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZEN_PRICE,CASE_PRICE,PIECE_SALE_PRICE,DOZEN_SALE_PRICE,CASE_SALE_PRICE,SALE_START_DATE,SALE_END_DATE,CASE_SIZE,INVENTORY_KEY,SIZE_INDEX,CATALOG_COLOR,PRICE_CODE,PRODUCT_STATUS,TITLE_IMAGE,BRAND_NAME,KEYWORDS,CATEGORY
"1380191","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_3q_012019.jpg","Size","Black","https://cdnm.sanmar.com/swatch/gifs/AmAp_Black.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","XS","1.1","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138019","1","Black","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380192","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_3q_012019.jpg","Size","Black","https://cdnm.sanmar.com/swatch/gifs/AmAp_Black.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","S","1.18","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138019","2","Black","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380193","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_3q_012019.jpg","Size","Black","https://cdnm.sanmar.com/swatch/gifs/AmAp_Black.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","M","1.3","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138019","3","Black","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380194","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_3q_012019.jpg","Size","Black","https://cdnm.sanmar.com/swatch/gifs/AmAp_Black.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","L","1.38","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138019","4","Black","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380201","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_black_model_3q_012019.jpg","Size","Black","https://cdnm.sanmar.com/swatch/gifs/AmAp_Black.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_black_model_front_012019.jpg","2XL","1.52","20.49","20.49","20.49","18.36","18.36","18.36","2022-07-07","2050-12-30","18","138020","1","Black","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380211","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_3q_012019.jpg","Size","Dark Heather Grey","https://cdnm.sanmar.com/swatch/gifs/AmAp_DarkGreyHthr.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","XS","1.1","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138021","1","Dark Hthr Grey","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380212","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_3q_012019.jpg","Size","Dark Heather Grey","https://cdnm.sanmar.com/swatch/gifs/AmAp_DarkGreyHthr.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","S","1.18","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138021","2","Dark Hthr Grey","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380213","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_3q_012019.jpg","Size","Dark Heather Grey","https://cdnm.sanmar.com/swatch/gifs/AmAp_DarkGreyHthr.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","M","1.3","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138021","3","Dark Hthr Grey","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380214","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_3q_012019.jpg","Size","Dark Heather Grey","https://cdnm.sanmar.com/swatch/gifs/AmAp_DarkGreyHthr.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","L","1.38","18.99","18.99","18.99","14.7","14.7","14.7","2022-07-07","2050-12-30","24","138021","4","Dark Hthr Grey","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
"1380221","DISCONTINUED American Apparel USA Collection Flex Fleece Zip Hoodie. F497","8.2-ounce  50/50 poly/combed cotton fleece  36 singles     Made in the USA of US and imported materials     Satin label     Metal zipper     Full-zip with white finished polyester drawcord and zipper tape     Kangaroo pockets     1x1 rib knit cuffs and hem     Classic fit","F497","Unisex Sizes: XS-2XL","https://cdnm.sanmar.com/catalog/images/AmericanApparelheader.jpg","https://cdnm.sanmar.com/catalog/images/F497Tn.jpg","https://cdnm.sanmar.com/catalog/images/F497sw.jpg","https://cdnm.sanmar.com/catalog/images/F497.jpg","https://www.apparelvideos.com/images/specsheet/pdf/specsheet/F497_specsheet.pdf","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_front.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_flat_back.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_back_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_side_012019.jpg","https://cdnm.sanmar.com/imglib/mresjpg/2018/f14/F497_darkheathergrey_model_3q_012019.jpg","Size","Dark Heather Grey","https://cdnm.sanmar.com/swatch/gifs/AmAp_DarkGreyHthr.gif","https://cdnm.sanmar.com/catalog/images/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","https://cdnm.sanmar.com/cache/altview/imglib/catl/2018/f14/F497_darkheathergrey_model_front_012019.jpg","2XL","1.52","20.49","20.49","20.49","18.36","18.36","18.36","2022-07-07","2050-12-30","18","138022","1","Dark Hthr Grey","A/P","Discontinued","","American Apparel","MIDWEIGHT FLEECE  USA MADE  RINGSPUN  HOODIE  FULLZIP flex fleece  USA made  hoodie  fullzip  50/50 blend","Sweatshirts/Fleece",
